type,title,cast,release_year,id,duration_type,duration_int,calificacion,califPromedio
movie,paradise canyon,"john wayne, marion burns",1935,as1383,min,53,3.0,3.5
movie,paper planes,"sam worthington, ed oxenbould, deborah mailman",2015,as1384,min,97,3.0,3.5
movie,panther's claw,"sidney blackmer, byron foulger, gerta rozan, joaquin edwards, herbert rawlinson, frank darien",1942,as1385,min,78,3.5,3.6
movie,pantani: the accidental death of a cyclist,"andrea gambadoro, conan sweeny",2014,as1386,min,96,2.0,3.5
tv show,panic 9-1-1,,2013,as1387,season,1,3.5,3.5
tv show,pandora,"priscilla quintana, raechelle banno, martin bobb-semple",2020,as1388,seasons,2,4.0,3.6
movie,pancho villa,telly savalas,2007,as1389,min,73,4.0,3.6
tv show,panchayat (4k uhd),"jitendra kumar, neena gupta, raghubir yadav, faisal malik, chandan roy",2020,as1390,season,1,3.0,3.6
tv show,panchayat,"jitendra kumar, neena gupta, raghubir yadav, faisal malik, chandan roy",2020,as1391,season,1,5.0,3.5
tv show,pajanimals,"victor yerrid, sarah lyle, michael winsor, donna kimball",2012,as1392,season,1,3.0,3.5
